sep=;
Variable;Function;Access;Process;Data races;Shared variable;Byte offset;Location
"XcpPacket@Xcp_SendResTxConf___1770@""ALL_bc_with_context.c""";CanIf_XCore_LocalCore_Transmit;read;Process 42;no;no;[0,3];ALL_bc_with_context.c:125260.26-52
"XcpPacket@Xcp_SendResTxConf___1770@""ALL_bc_with_context.c""";Xcp_CanTransmit;read;Process 42;no;no;[0,3];ALL_bc_with_context.c:262065.56-80
"XcpPacket@Xcp_SendResTxConf___1770@""ALL_bc_with_context.c""";Xcp_CanTransmit;read;Process 42;no;no;[4,5];ALL_bc_with_context.c:262065.91-114
XcpPacket@Xcp_SendRes;CanIf_XCore_LocalCore_Transmit;read;Process 42;no;no;[0,3];ALL_bc_with_context.c:125096.23-49
XcpPacket@Xcp_SendRes;CanIf_XCore_LocalCore_Transmit;read;Process 42;no;no;[4,5];ALL_bc_with_context.c:125169.19-44
XcpPacket@Xcp_SendRes;CanIf_XCore_LocalCore_Transmit;read;Process 42;no;no;[4,5];ALL_bc_with_context.c:125175.33-58
XcpPacket@Xcp_SendRes;CanIf_XCore_LocalCore_Transmit;read;Process 42;no;no;[4,5];ALL_bc_with_context.c:125232.24-49
XcpPacket@Xcp_SendRes;CanIf_XCore_LocalCore_Transmit;read;Process 42;no;no;[4,5];ALL_bc_with_context.c:125238.37-62
XcpPacket@Xcp_SendRes;CanIf_XCore_LocalCore_Transmit;read;Process 42;no;no;[4,5];ALL_bc_with_context.c:125256.19-44
XcpPacket@Xcp_SendRes;CanIf_XCore_LocalCore_Transmit;read;Process 42;no;no;[0,3];ALL_bc_with_context.c:125260.26-52
XcpPacket@Xcp_SendRes;Xcp_CanTransmit;read;Process 42;no;no;[0,3];ALL_bc_with_context.c:262065.56-80
XcpPacket@Xcp_SendRes;Xcp_CanTransmit;read;Process 42;no;no;[4,5];ALL_bc_with_context.c:262065.91-114
"XcpPacket@Xcp_SendEvTxConf___1770@""ALL_bc_with_context.c""";CanIf_XCore_LocalCore_Transmit;read;Process 42;no;no;[0,3];ALL_bc_with_context.c:125096.23-49
